technique,case_id,state,runtime_avg,runtime_cnf
marking-7,RM,{'edge4'},0.0, 0.0
marking-9,RM,{'edge4'},0.0, 0.0
marking-3,RN,{'edge10'},0.0, 0.0
marking-5,RN,{'edge10'},0.0, 0.0
marking-7,RN,{'edge10'},0.0, 0.0
marking-9,RN,{'edge10'},0.0, 0.0
marking-3,RO,{'edge41'},0.0, 0.0
marking-5,RO,{'edge41'},0.0, 0.0
marking-7,RO,{'edge41'},0.0, 0.0
marking-9,RO,{'edge41'},0.0, 0.0
marking-3,RP,{'edge6'},0.0, 0.0
marking-5,RP,{'edge6'},0.0, 0.0
marking-7,RP,{'edge6'},0.0, 0.0
marking-9,RP,{'edge6'},0.0, 0.0
marking-3,RQ,{'edge7'},0.0, 0.0
marking-5,RQ,{'edge7'},0.0, 0.0
marking-7,RQ,{'edge7'},0.0, 0.0
marking-9,RQ,{'edge7'},0.0, 0.0
marking-3,RR,{'edge10'},0.0, 0.0
marking-5,RR,{'edge10'},0.0, 0.0
marking-7,RR,{'edge10'},0.0, 0.0
marking-9,RR,{'edge10'},0.0, 0.0
marking-3,RS,{'edge10'},0.0, 0.0
marking-5,RS,{'edge10'},0.0, 0.0
marking-7,RS,{'edge10'},0.0, 0.0
marking-9,RS,{'edge10'},0.0, 0.0
marking-3,RT,{'edge6'},0.0, 0.0
marking-5,RT,{'edge6'},0.0, 0.0
marking-7,RT,{'edge6'},0.0, 0.0
marking-9,RT,{'edge6'},0.0, 0.0
marking-3,RU,{'edge41'},0.0, 0.0
marking-5,RU,{'edge41'},0.0, 0.0
marking-7,RU,{'edge41'},0.0, 0.0
marking-9,RU,{'edge41'},0.0, 0.0
marking-3,RV,{'edge4'},0.0, 0.0
marking-5,RV,{'edge4'},0.0, 0.0
marking-7,RV,{'edge4'},0.0, 0.0
marking-9,RV,{'edge4'},0.0, 0.0
marking-3,RW,{'edge10'},0.0, 0.0
marking-5,RW,{'edge10'},0.0, 0.0
marking-7,RW,{'edge10'},0.0, 0.0
marking-9,RW,{'edge10'},0.0, 0.0
marking-3,RX,{'edge6'},0.0, 0.0
marking-5,RX,{'edge6'},0.0, 0.0
marking-7,RX,{'edge6'},0.0, 0.0
marking-9,RX,{'edge6'},0.0, 0.0
marking-3,RY,{'edge10'},0.0, 0.0
marking-5,RY,{'edge10'},0.0, 0.0
marking-7,RY,{'edge10'},0.0, 0.0
marking-9,RY,{'edge10'},0.0, 0.0
marking-3,RZ,{'edge40'},0.0, 0.0
marking-5,RZ,{'edge40'},0.0, 0.0
marking-7,RZ,{'edge40'},0.0, 0.0
marking-9,RZ,{'edge40'},0.0, 0.0
marking-3,S,{'edge10'},0.0, 0.0
marking-5,S,{'edge10'},0.0, 0.0
marking-7,S,{'edge10'},0.0, 0.0
marking-9,S,{'edge10'},0.0, 0.0
marking-3,SA,{'edge6'},0.0, 0.0
marking-5,SA,{'edge6'},0.0, 0.0
marking-7,SA,{'edge6'},0.0, 0.0
marking-9,SA,{'edge6'},0.0, 0.0
marking-3,SAA,{'edge10'},0.0, 0.0
marking-5,SAA,{'edge10'},0.0, 0.0
marking-7,SAA,{'edge10'},0.0, 0.0
marking-9,SAA,{'edge10'},0.0, 0.0
marking-3,SB,{'edge10'},0.0, 0.0
marking-5,SB,{'edge10'},0.0, 0.0
marking-7,SB,{'edge10'},0.0, 0.0
marking-9,SB,{'edge10'},0.0, 0.0
marking-3,SBA,{'edge41'},0.0, 0.0
marking-5,SBA,{'edge41'},0.0, 0.0
marking-7,SBA,{'edge41'},0.0, 0.0
marking-9,SBA,{'edge41'},0.0, 0.0
marking-3,SC,{'edge6'},0.0, 0.0
marking-5,SC,{'edge6'},0.0, 0.0
marking-7,SC,{'edge6'},0.0, 0.0
marking-9,SC,{'edge6'},0.0, 0.0
marking-3,SCA,{'edge30'},0.0, 0.0
marking-5,SCA,{'edge30'},0.0, 0.0
marking-7,SCA,{'edge30'},0.0, 0.0
marking-9,SCA,{'edge30'},0.0, 0.0
marking-3,SD,{'edge2'},0.0, 0.0
marking-5,SD,{'edge2'},0.0, 0.0
marking-7,SD,{'edge2'},0.0, 0.0
marking-9,SD,{'edge2'},0.0, 0.0
marking-3,SDA,{'edge7'},0.0, 0.0
marking-5,SDA,{'edge7'},0.0, 0.0
marking-7,SDA,{'edge7'},0.0, 0.0
marking-9,SDA,{'edge7'},0.0, 0.0
marking-3,SE,{'edge41'},0.0, 0.0
marking-5,SE,{'edge41'},0.0, 0.0
marking-7,SE,{'edge41'},0.0003342628479003906, 0.0014382169549546223
marking-9,SE,{'edge41'},0.0, 0.0
marking-3,SEA,{'edge10'},0.0, 0.0
marking-5,SEA,{'edge10'},0.0, 0.0
marking-7,SEA,{'edge10'},0.0, 0.0
marking-9,SEA,{'edge10'},0.0, 0.0
marking-3,SF,{'edge4'},0.0, 0.0
marking-5,SF,{'edge4'},0.0, 0.0
marking-7,SF,{'edge4'},0.0, 0.0
marking-9,SF,{'edge4'},0.0, 0.0
marking-3,SFA,{'edge0'},0.0, 0.0
marking-5,SFA,{'edge0'},0.0, 0.0
marking-7,SFA,{'edge0'},0.0, 0.0
marking-9,SFA,{'edge0'},0.0, 0.0
marking-3,SG,{'edge4'},0.0, 0.0
marking-5,SG,{'edge4'},0.0, 0.0
marking-7,SG,{'edge4'},0.0, 0.0
marking-9,SG,{'edge4'},0.0, 0.0
marking-3,SGA,{'edge30'},0.0, 0.0
marking-5,SGA,{'edge30'},0.0, 0.0
marking-7,SGA,{'edge30'},0.0, 0.0
marking-9,SGA,{'edge30'},0.0, 0.0
marking-3,SH,{'edge40'},0.0, 0.0
marking-5,SH,{'edge40'},0.0, 0.0
marking-7,SH,{'edge40'},0.0, 0.0
marking-9,SH,{'edge40'},0.0, 0.0
marking-3,SHA,{'edge6'},0.0, 0.0
marking-5,SHA,{'edge6'},0.0, 0.0
marking-7,SHA,{'edge6'},0.0, 0.0
marking-9,SHA,{'edge6'},0.0, 0.0
marking-3,SI,{'edge10'},0.0, 0.0
marking-5,SI,{'edge10'},0.0, 0.0
marking-7,SI,{'edge10'},0.0, 0.0
marking-9,SI,{'edge10'},0.0, 0.0
marking-3,SIA,{'edge2'},0.0, 0.0
marking-5,SIA,{'edge2'},0.0, 0.0
marking-7,SIA,{'edge2'},0.0, 0.0
marking-9,SIA,{'edge2'},0.0, 0.0
marking-3,SJ,{'edge10'},0.0, 0.0
marking-5,SJ,{'edge10'},0.0, 0.0
